tsale,sales,margin,nown,nfull,npart,naux,hoursw,hourspw,inv1,inv2,ssize,start
694227,1735.568,25,1,3,1,1.3673,192,30.15407,230000,15000,400,1964
976817,10282.28,41,1,2.2656,1,1.3333,80,14.28852,8000,16624.89,95,1973
976817,5141.142,39,2,3,1,1.5357,183,24.28441,17166.67,10000,190,1993
815000,5821.429,30,1,1,2.0741,1.3333,100,18.49318,62269.23,16624.89,140,2013
495340,6604.533,44,2,2.2656,2.0741,1,104,14.16952,62269.23,16624.89,75,1946
1718000,8590,47,1,4,1.2833,1.3673,282,36.85986,22207.04,10000,200,1969
875000,14583.33,37,2,4.359,2.2222,1.4091,86,8.60835,292857.2,71570.55,60,1999
790000,2633.333,40,1,2,2.0741,1.3333,114,17.79193,62269.23,16624.89,300,1947
495340,3538.143,39,2,2.2656,2.0741,1.3333,80,10.42617,62269.23,16624.89,140,2009
1850000,12333.33,41,1,5,1.2833,1.3673,228,26.35655,22207.04,22859.85,150,1961
549000,4575,41,2,1,2.0741,1.3333,88,13.73412,25000,16624.89,120,1957
745000,2660.714,41,2,2,2.0741,1.3333,126,17.01002,62269.23,16624.89,280,1972
694227,7713.633,41,1,1.9231,1,1,62,12.59369,2500,2500,90,1945
156168,3904.2,37,1,1.9556,1.2833,1.3673,43,7.67008,22207.04,22859.85,40,1965
976817,15027.95,43,1,1.9556,1,1,78,15.73977,22207.04,5000,65,1995
450000,5000,39,1,2,1.5946,1.5357,117,19.08553,17166.67,27177.04,90,2009
156168,3904.2,37.4615,1,1.9556,1.2833,1.3673,70,12.48618,1300,22859.85,40,1970
700000,5833.333,41,1,1,1.2833,1.3673,81,17.41711,22207.04,22859.85,120,2011
498000,2490,40,1,2.2656,2.0741,2,80,10.89963,62269.23,3000,200,1964
1421000,4736.667,38,2,2,1.5946,1,166,25.17211,17166.67,27177.04,300,1989
1600000,3200,39,2,5,2.2222,1.4091,280,26.33732,4.00E+05,4.00E+05,500,1952
510000,3923.077,41,2,1.9556,1.2833,1.3673,100,15.1373,22207.04,22859.85,130,1956
694227,4628.18,33,1,1.9231,1,1,110,22.34365,17166.67,27177.04,150,1999
700000,3111.111,41,1,1,1.2833,1.3673,81,17.41711,22207.04,22859.85,225,1961
694227,3305.843,41,1,1.9231,1.5946,1.5357,82,13.54611,17166.67,27177.04,210,2011
312107,2837.336,38,2,1.9231,1.5946,1.5357,104,14.74466,17166.67,2250,110,2009
301133,8603.8,37,1,1.9556,1.2833,1.3673,43,7.67008,22207.04,22859.85,35,1959
156168,1382.018,37,1,1.9556,1.2833,1.3673,104,18.55089,22207.04,22859.85,113,2008
301133,3764.163,31,1,1.9556,1,1.3673,66,12.39926,22207.04,22859.85,80,1988
301133,3011.33,35,1,1,1.2833,1,63,14.70829,22207.04,1000,100,1967
301133,3345.922,39,1,1.9556,1.2833,1,63,12.02542,22207.04,1250,90,1950
495340,3538.143,37,1,1.9231,1.5946,1,84,15.22373,17166.67,150000,140,1950
1926395,5206.473,47,1,5,3,1,296,29.6,292857.2,20000,370,1988
1022300,10223,42,1.2228,2,2,1,122,19.60532,22207.04,22859.85,100,1978
1343500,19192.86,42,1.2228,3,2,1.3673,154,20.28959,22207.04,22859.85,70,2008
1290500,18435.71,42,1.2228,3,2,1,148,20.49067,22207.04,15000,70,1992
550000,4583.333,37,2,1.9231,1,1.5357,152,23.53378,17166.67,27177.04,120,1966
2053200,14665.71,45,1.2228,5,1,1.3673,210,24.44675,22207.04,11500,140,1959
495340,12383.5,37.4615,1,1.9556,1.2833,1.3673,100,17.83739,22207.04,22859.85,40,1974
680000,7083.333,45,2,1.9556,1.2833,1.3673,104,15.74279,22207.04,1000,96,1977
800000,9411.765,43,1,1,1.5946,1.5357,130,25.33965,1000,27177.04,85,1981
235000,2350,37.4615,1,1.9556,1.2833,1.3673,43,7.67008,22207.04,22859.85,100,1987
976817,4884.085,41,1,1,1.2833,1.3673,90,19.35234,22207.04,22859.85,200,2004
400000,8000,39,1,1.9231,1.5946,1.5357,132,21.80593,17166.67,27177.04,50,1950
625000,6944.444,36,1,1.9556,1.2833,1,90,17.17918,190000,22859.85,90,1974
777362,5182.414,32,1,1.9556,1.2833,2,92,14.74619,22207.04,22859.85,150,1981
976817,4884.085,39,1,1.9556,2,1.3673,104,16.44815,22207.04,22859.85,200,1956
301133,5018.883,49,1,1.9556,1.2833,1.3673,65,11.59431,22207.04,22859.85,60,1977
800000,8000,39,1,1.9556,1.2833,1,88,16.79742,20000,20000,100,2001
495340,4953.4,37,1,1.9556,1,1.3673,74,13.9022,22207.04,5000,100,1945
553809,6153.433,42,1,2.2656,2.0741,1,61,9.621906,62269.23,16624.89,90,2007
976817,6977.264,45,2,2,2,1.5357,162,21.49767,17000,2500,140,1993
425000,2361.111,36,2,2.2656,2.0741,1.3333,80,10.42617,325000,16624.89,180,1950
495340,1981.36,39,1,2.2656,2.0741,1.3333,120,17.98292,62269.23,16624.89,250,1985
495340,4503.091,31,1,2.2656,2.0741,1.3333,72,10.78975,62269.23,16624.89,110,1960
301133,3764.163,41,1,1.9556,1,1.3673,52,9.769111,22207.04,22859.85,80,2009
876845,5480.281,42,1,1,1,1.3333,126,29.07715,350000,16624.89,160,2000
420000,14000,38,1,1,2.0741,1.3333,80,14.79454,62269.23,16624.89,30,1978
694227,5833.84,41,2,2.2656,1,1.3333,108,16.36636,62269.23,16624.89,119,1945
156168,1952.1,41,1,1.9556,1,1.3673,71,13.33859,10000,5000,80,1972
495340,8255.667,41,1,1.9556,1,1.3673,62,11.64779,22207.04,22859.85,60,1952
694227,4338.919,39,2,1.9556,2,1.3673,125,17.06974,1.00E+05,10000,160,1948
1033543,4306.429,41,1,1,2,1.5357,188,33.96138,17166.67,27177.04,240,2009
200005,2500.063,41,1,1.9556,1.2833,1.3673,52,9.275445,22207.04,22859.85,80,1955
1158200,8516.177,41,2,2,2.2222,1.4091,128,16.77303,292857.2,5800,136,1960
393000,2079.365,40,1,2.2656,2.0741,1,63,9.937379,62269.23,16624.89,189,1957
77369,4835.563,33,1,1.9556,1.2833,1.3673,62,11.05918,22207.04,22859.85,16,1990
156168,1952.1,25,1,1.9556,1.2833,1.3673,32,5.707966,2500,22859.85,80,1973
1926395,3210.658,41,2,5,2.0741,1.3333,271,26.03916,62000,14000,600,1979
976817,9768.17,44,1,1,1.2833,1.3673,72,15.48187,22207.04,22859.85,100,1986
694227,3305.843,41,1,1,1,1.3673,118,27.01898,22207.04,10000,210,1995
301133,3345.922,33,1,1.9556,1.2833,1.3673,42,7.491705,6750,1500,90,1993
687800,7642.222,37,1,1,2.0741,1.3333,87,16.08906,62269.23,1250,90,2014
949840,2713.829,37,1,2,1.2833,1.3673,122,21.59063,22207.04,1200,350,1999
694227,5553.816,40,1,1,3,1.3333,114,18.0001,62269.23,14500,125,1979
976817,2790.906,28,1,1,2.2222,1.4091,117,20.77673,1500000,3.00E+05,350,1946
400000,2857.143,43,1,1.9556,1.2833,1.3673,100,17.83739,10000,3000,140,1986
495340,3002.061,31,1,1.9556,1.2833,1.3673,72,12.84292,2000,3000,165,1974
301133,2007.553,28,2,1.9556,1.2833,1.3673,100,15.1373,22207.04,22859.85,150,1959
3543400,9842.777,38,1,5,1.2833,1,244,29.45686,22207.04,22859.85,360,1977
495340,3538.143,38,1,1.9556,1.2833,1,51,9.734868,22207.04,2500,140,1967
1283500,8556.667,41,2,1,2,1.3673,142,22.30145,22207.04,22859.85,150,2001
976817,5745.982,33,2,2.2656,2.0741,1,151,20.57305,62269.23,16624.89,170,1966
767905,5485.036,39,1,2.2656,2.0741,1,102,16.08909,62269.23,15000,140,1980
832000,4622.222,43,1,1.9231,1.5946,1.5357,75,12.38973,17166.67,600,180,1946
495340,4953.4,39,2,2.2656,2.0741,1.3333,70,9.122898,230000,3500,100,1978
1300000,11304.35,39,1,2,1.2833,1.3673,160,28.31558,22207.04,22859.85,115,1992
976817,13954.53,41,1,1,2.2222,1.4091,92,16.33726,292857.2,71570.55,70,1995
976817,12210.21,42,2,1.9231,1,1.5357,120,18.5793,17166.67,5000,80,2003
630000,4500,36,1,1,1.5946,1.5357,104,20.27172,17166.67,1800,140,1959
694227,5340.208,39,2,2.2656,2.0741,1,124,16.89442,62269.23,5000,130,1980
976817,5280.092,41,1,2.2656,2,1.3333,100,15.15404,2000,2000,185,1949
1378586,7877.634,44,1,2,2,2,175,25,292857.2,25000,175,2001
145000,2900,37,1,1.9556,1.2833,1.3673,62,11.05918,22207.04,22859.85,50,1980
1943500,24293.75,35,2,2.2656,2.0741,1,318,43.32602,150000,16624.89,80,1961
301133,6022.66,31,1,1.9556,1.2833,1.3673,80,14.26992,22207.04,22859.85,50,1973
1000000,5000,40,2,2,2.2222,1,180,24.92315,5000,1000,200,1966
775000,12916.67,39,2,1.9556,1.2833,1.3673,120,18.16475,22207.04,22859.85,60,2006
1223975,7649.844,41,1,1,1,1.3333,132,30.46177,62269.23,6000,160,1951
694227,4083.688,42,1,1.9556,1,1.3673,72,13.52646,22207.04,22859.85,170,1951
976817,9768.17,52,1,1.9556,1.2833,1.3673,120,21.40487,5000,2500,100,1953
1350000,6192.661,33,1,2,2.0741,1.3333,116,18.10407,62269.23,2000,218,1985
390000,5571.429,42,1,1.9231,1.5946,1.5357,86,14.20689,17166.67,27177.04,70,1977
535000,4458.333,34,1,1.9556,1.2833,1,80,15.27038,22207.04,6500,120,2012
2500000,10416.67,16,1.2228,4,1,4,199,19.46629,22207.04,22859.85,240,1957
1926395,17512.68,41,2,4,1.2833,1.3673,240,27.74374,22207.04,30000,110,2014
524000,6550,38,1,1.9556,1.2833,1.3673,62,11.05918,22207.04,80000,80,2002
729353,9116.912,33,2,2.2656,1,1.3333,114,17.27561,62269.23,16624.89,80,2010
620000,2254.545,42,2,1,1.5946,1,103,18.41061,17166.67,8500,275,1979
1223000,11759.62,35,1,1,1.2833,1,91,21.2453,22207.04,25000,104,2005
625000,8333.333,41,1.2228,1,1,1.3673,65,14.16091,22207.04,5000,75,1961
538055,4483.792,42,1.3238,1,2,1,96,18.03223,62269.23,16624.89,120,1991
250000,4545.455,41,1,1.9556,1.2833,1,51,9.734868,22207.04,22859.85,55,1982
301133,9410.406,41,1,1.9556,1.2833,1,51,9.734868,22207.04,22859.85,32,1963
77369,1487.865,35,1,1.9556,1.2833,1.3673,40,7.134958,22207.04,22859.85,52,1981
1378586,13785.86,41,1,2,2,1.5357,147,22.49185,17166.67,27177.04,100,2013
495340,6191.75,34,1,1.9556,1.2833,1,85,16.22478,9000,2000,80,2013
333000,2081.25,49,1,1.9231,1.5946,1,75,13.59262,4500,27177.04,160,2003
1378586,6892.93,49,1,1,2.0741,2,111,18.27431,62269.23,16624.89,200,2001
301133,2007.553,31,1,1.9556,1.2833,1.3673,82,14.62666,22207.04,22859.85,150,1978
340000,4250,37,1,1.9556,1.2833,1,71,13.55246,22207.04,1200,80,1959
976817,5426.761,44,1,2.2656,1,1,98,18.61136,62269.23,16624.89,180,1962
1926395,7269.415,41,1,2,2,1.3333,184,29.05278,20000,16624.89,265,1976
1001500,3576.786,35,1,2,1,2,174,29,22207.04,80000,280,1959
301133,6022.66,37.4615,1,1.9556,1.2833,1.3673,71,12.66455,22207.04,22859.85,50,1986
750000,3750,38,1,1,2.0741,1.3333,131,24.22606,62269.23,16624.89,200,1994
694227,3085.453,39,2,1,2.0741,1,128,21.07308,62269.23,16624.89,225,2003
495340,4953.4,44,2,1,1.2833,1.3673,120,21.23668,2500,2500,100,2007
750000,7500,41,1,1,1.2833,1.3673,98,21.07255,22207.04,22859.85,100,2010
694227,5340.208,33,1,1.9556,1.2833,2,78,12.5022,22207.04,10000,130,2009
750000,7653.061,39,1,1.9556,1.2833,1.3673,104,18.55089,22207.04,22859.85,98,1991
400000,3333.333,30,1,2.2656,2.0741,1,59,9.306434,62269.23,16624.89,120,1970
1200000,6000,36,2,3,1.5946,4,192,18.12244,20000,45000,200,1994
694227,2169.459,39,1,1,1,1.3333,94,21.69247,2000,16624.89,320,1980
250000,2272.727,41,1,1.9556,1.2833,1,63,12.02542,22207.04,22859.85,110,1999
976817,4884.085,44,1,3,1,1.4091,196,30.58152,292857.2,71570.55,200,1997
845000,4225,40,1,1,2,1,144,28.8,17166.67,27177.04,200,1946
1926395,12842.63,44,1,5,4,1.4091,297,26.03185,292857.2,71570.55,150,1953
976817,2382.48,66,1,4,3,1,313,34.77778,17166.67,72000,410,2008
600000,5454.545,32,2,1,1.2833,1.3673,90,15.92751,22207.04,22859.85,110,1991
694227,9917.528,39,1,4.359,2.2222,1.4091,150,16.68465,292857.2,71570.55,70,2009
760000,5066.667,34,2,1.9231,1.5946,2,86,11.43967,17166.67,27177.04,150,1947
976817,9768.17,41,1,4,1.2833,1.3673,191,24.96536,25000,25000,100,1982
156168,6246.72,37.4615,1,1.9556,1.2833,1.3673,104,18.55089,80000,22859.85,25,1997
495340,6191.75,38,1,1,1.2833,1.3673,120,25.80312,22207.04,22859.85,80,1954
1378586,5143.978,28,2,3,1,1.3673,212,28.77581,22207.04,5000,268,1950
1164149,12934.99,37,1,1,1,1.3333,128,29.53869,62269.23,16624.89,90,1993
1200000,8000,40,1,1.9556,1.2833,2,97,15.54761,50000,275000,150,1985
976817,12210.21,38,1,1.9556,2,1.3673,93,14.70844,22207.04,22859.85,80,1974
694227,9256.36,41,1.2228,2,1.2833,1.3673,80,13.62073,22207.04,22859.85,75,1956
694227,3305.843,42,1,1,3,1.3333,102,16.10535,62269.23,16624.89,210,2010
694227,4958.764,44,1,1,3,1.3333,102,16.10535,62269.23,16624.89,140,1948
694227,4958.764,44,1,1,2,1,92,18.4,62269.23,5000,140,1990
1926395,4815.987,42,3,2,1,1,297,42.42857,22207.04,4.00E+05,400,1981
301133,3764.163,41,1,1.9556,1.2833,1.3673,90,16.05366,22207.04,22859.85,80,1963
1340000,8375,43,2,1,2,1.3333,179,28.26331,62269.23,13000,160,1949
785000,4361.111,39,1.3238,1,2,1.3333,74,13.08091,30000,10000,180,1970
1400000,4117.647,40,1.3238,3,2,1.3333,142,18.54488,62269.23,20000,340,1995
2700000,27000,40,1,3,1.2833,1.3673,160,24.05798,22207.04,9000,100,1951
1926395,8756.341,43,1,4,1,1,236,33.71429,292857.2,60000,220,1996
694227,6428.028,44,1,1.9556,1.2833,1.3673,80,14.26992,22207.04,22859.85,108,1959
600000,6000,39,1,1,1.5946,1.5357,81,15.78855,17166.67,27177.04,100,1966
976817,8880.154,39,1,3,1.2833,1.3673,170,25.5616,1.00E+05,150000,110,1977
694227,5785.225,37,1,1,2,1.3333,120,22.50014,62269.23,75000,120,2014
694227,4338.919,31,2,1,1,1.3673,116,21.61236,22207.04,22859.85,160,1949
495340,4127.833,40,1,1.9231,1,1.5357,114,20.88371,11000,27177.04,120,1954
495340,3669.185,39,1,1.9231,1.5946,1.5357,70,11.56375,17166.67,27177.04,135,2013
350000,2916.667,38,1,1,1.2833,1.3673,90,19.35234,15000,15000,120,1980
77369,910.2235,21,1,1.9556,1.2833,1.3673,45,8.026828,22207.04,22859.85,85,1957
976817,5141.142,41,1,2,1,1.4091,190,35.12599,1000,71570.55,190,2005
1475000,4402.985,41,1,2,2,1.3333,170,26.84225,62269.23,16624.89,335,2010
795655,1768.122,41,2,2,1.5946,1.5357,160,22.43945,17166.67,27177.04,450,1983
570000,5700,40,1,1.9556,1,1.3673,63,11.83565,22207.04,22859.85,100,1965
976817,6977.264,40,2,1,1,1.5357,135,24.38716,15000,27177.04,140,1963
711661,6469.646,41,1,1,1.2833,1.3673,139,29.88862,22207.04,10000,110,2013
156168,6246.72,36,1,1.9556,1.2833,1.3673,60,10.70244,22207.04,22859.85,25,1949
960000,7680,35,2,2.2656,2.0741,1.3333,100,13.03271,62269.23,16624.89,125,1947
860000,3822.222,36,1,1,2,1,145,29,62269.23,8000,225,1979
694227,8677.838,28,1,1.9556,1,1,68,13.72185,22207.04,22859.85,80,2009
777102,5180.68,44,1,2,1.5946,1,146,26.09659,17166.67,27177.04,150,1980
976817,3256.057,35,2,1,1,1.5357,142,25.65168,17166.67,27177.04,300,2014
770200,2026.842,41,2,2.2656,2,1.3333,126,16.58135,62269.23,16624.89,380,1977
560000,7000,37,2,1.9556,1.2833,1.3673,86,13.01807,2000,4000,80,1990
495340,3810.308,37,1,1.9231,1,1,88,17.87492,17166.67,10000,130,1955
1182183,1688.833,40,1,5,1.2833,1.3673,240,27.74374,22207.04,101552,700,2005
694227,12622.31,45,2,1.9556,1,1,116,19.47747,10000,22859.85,55,1978
716000,7955.556,38,1,2,2.0741,2,108,15.26696,62269.23,1750,90,1946
976817,4341.409,39,1.4091,3,2.2222,1,122,15.98679,292857.2,71570.55,225,2011
495340,2896.725,40,1,1.9556,1.2833,1.3673,87,15.51853,22207.04,22859.85,171,1987
820000,6833.333,38,1,1,1.2833,1.3673,80,17.20208,22207.04,16000,120,2011
1040000,11555.56,38,1,2,1.2833,1.3673,101,17.87421,22207.04,9000,90,1960
3545901,23639.34,45,1,4,1,1.3673,228,30.94757,22207.04,12000,150,1954
900000,3600,60,3,2,1,1.3333,244,33.27288,62269.23,15720,250,1962
436000,7266.667,37,1,1.9556,1,2,79,13.26483,22207.04,22859.85,60,2009
800000,8000,33,1,2,1.2833,1.3673,87,15.3966,22207.04,22859.85,100,1964
301133,7528.325,28,1,1.9556,1,1.3673,56,10.52058,22207.04,22859.85,40,1979
495340,7620.615,41,1,1.9556,1.2833,1,82,15.65214,6000,5000,65,1955
1400000,7777.778,41,2,1.9556,3,1.3673,160,19.22407,22207.04,5000,180,1979
640000,3878.788,34,2,1,1.2833,1.3673,158,27.96163,22207.04,2000,165,1985
301133,6022.66,41,1,1.9556,1.2833,1.3673,40,7.134958,22207.04,22859.85,50,1953
495340,1905.154,41,1,1,2.0741,1.3333,90,16.64386,62269.23,16624.89,260,1991
156168,3904.2,36,1,1.9556,1,1.3673,55,10.33271,22207.04,22859.85,40,1968
971500,3736.539,41,2,1,2,1,171,28.5,292857.2,1483,260,1955
812397,9026.634,38,1,1.9231,1,1.5357,67,12.27376,17166.67,6884,90,1962
1054268,10542.68,38,1,1,1.2833,1,132,30.81736,22207.04,15000,100,2008
750000,8823.529,42,1,1,1.2833,1.3673,84,18.06219,22207.04,22859.85,85,1945
77369,1547.38,23,1,1.9556,1.2833,1.3673,43,7.67008,22207.04,22859.85,50,1950
126179,3154.475,33,1,1.9556,1.2833,1.3673,52,9.275445,22207.04,600,40,1947
1378586,12883.98,37,1,2,1.2833,1,88,16.65626,22207.04,10000,107,1971
694227,10680.42,41,1,4.359,1,1.4091,86,11.07092,292857.2,2000,65,1946
1378586,14360.27,37.4615,1.2228,2,4,1.3673,154,17.92761,22207.04,22859.85,96,1957
976817,2790.906,44,2,2,1,1,165,27.5,292857.2,71570.55,350,1963
490000,8166.667,25,1.2228,2,1,1.3673,102,18.24654,22207.04,22859.85,60,1982
301133,4182.403,31,1,1.9556,1.2833,1.3673,62,11.05918,22207.04,1500,72,1997
694227,4958.764,37.4615,2,2,1.2833,1.3673,126,18.94566,22207.04,22859.85,140,1980
1130000,13294.12,31,1,2,1.2833,1.3673,132,23.36035,8800,2000,85,1976
156168,4338,37.4615,1,1.9556,1.2833,1.3673,62,11.05918,22207.04,22859.85,36,1988
976817,13954.53,37,2,2.2656,2.0741,1.3333,116,15.11795,62269.23,16624.89,70,1999
1000000,8333.333,39,1,2,1.2833,1.3673,100,17.69724,22207.04,1.00E+05,120,1966
1926395,19263.95,40,10,4,2.2222,1.4091,582,33.00948,292857.2,71570.55,100,1950
243517,4427.582,28,1,1.9556,1.2833,1.3673,72,12.84292,22207.04,2476,55,1961
301133,3764.163,39,1,1.9556,1.2833,1,55,10.49839,40000,48450,80,2012
4000000,9302.325,41,1,7,1,1.3673,359,34.62811,22207.04,22859.85,430,1950
750000,3750,36,2,1,1,2,173,28.83333,62269.23,16624.89,200,1949
301133,3011.33,39,1,1.9556,1.2833,1.3673,87,15.51853,22207.04,22859.85,100,1965
850000,7727.273,43,1,1,2,1.5357,143,25.83232,17166.67,5000,110,1948
301133,2737.573,35,1,1.9556,1,1.3673,90,16.90808,22207.04,22859.85,110,1968
229000,2726.19,41,1,1.9556,1.2833,1.3673,60,10.70244,22207.04,22859.85,84,1960
400000,5000,39,2,2.2656,2.0741,1.3333,80,10.42617,62269.23,16624.89,80,1985
976817,15027.95,38,1,1.9556,1,1.3673,110,20.66543,2500,13500,65,1995
976817,12210.21,39,2,1.9556,1.2833,1.3673,100,15.1373,22207.04,5000,80,1956
1926395,7705.58,48,1,3,2,1,213,30.42857,292857.2,71570.55,250,1992
1378586,5105.874,45,1,1,4,1.3333,178,24.27284,62269.23,16624.89,270,1997
2737701,7822.003,39,1,6,2,1.3333,294,28.4517,62269.23,16624.89,350,1958
694227,4958.764,44,1.4091,2,2.2222,1,84,12.6672,292857.2,71570.55,140,1979
800000,5333.333,37,2,1,1,1.5357,192,34.68396,17166.67,2000,150,1965
890700,7125.6,44,1.3238,2,2,1,134,21.18979,62269.23,8000,125,1984
1891500,5404.286,36,1,4,1,3,250,27.77778,292857.2,9500,350,1995
60000,300,25,1,1.9556,1.2833,1.3673,50,8.918697,22207.04,22859.85,200,1979
976817,6105.106,31,1,1,2,1,107,21.4,22207.04,22859.85,160,1963
976817,3907.268,41,1,1,2.2222,1,86,16.46815,292857.2,71570.55,250,2002
976817,3907.268,41,1,1,2.2222,1,86,16.46815,292857.2,71570.55,250,2012
1076500,5053.991,39,1,2,3,1.3333,186,25.36375,62269.23,16624.89,213,1957
1378586,6352.931,38,1,4,1.5946,1.5357,191,23.49237,17166.67,27177.04,217,1972
409167,5114.587,37,1,1.9556,1.2833,1,67,12.78894,22207.04,5900,80,1953
694227,15427.27,35,1.2228,2,1.2833,1.3673,80,13.62073,22207.04,6000,45,1975
900000,5000,39,1,1,2,1,137,27.4,1.00E+05,40000,180,1992
1926395,5503.986,41,1,5,3,1.3333,284,27.48396,62269.23,16700,350,1950
976817,4884.085,36,1.2228,1,1,1,58,13.73496,22207.04,350,200,1964
887000,10313.95,39,1,4.359,1,1.4091,110,14.16048,292857.2,15000,86,1985
2737701,10950.8,42,1,4,1,3,274,30.44444,22207.04,22859.85,250,1970
1300000,8666.667,39,2,1,1.2833,1,177,33.50179,22207.04,22859.85,150,1952
156168,3549.273,40,1,1.9556,1.2833,1.3673,63,11.23756,22207.04,22859.85,44,1998
1000000,10638.3,41,2,2,1,1.3673,184,28.89765,30000,22859.85,94,1979
528000,6600,41,1,2.2656,2.0741,1.3333,120,17.98292,62269.23,16624.89,80,2003
77369,1934.225,33,1,1.9556,1.2833,1.3673,80,14.26992,22207.04,22859.85,40,1977
1926395,13759.96,49,1.2857,2,2,2,136,18.6667,17166.67,27177.04,140,1948
694227,6942.27,35,2,1.9231,1.5946,1,65,9.972843,17166.67,10000,100,1972
475000,11309.52,28,1,1.9556,1.2833,1.3673,60,10.70244,22207.04,2000,42,1994
800000,5555.556,41,2,3,2.0741,2,240,26.4489,62269.23,5000,144,1955
984717,5182.721,37,1,3,1.2833,1.3673,162,24.3587,22207.04,22859.85,190,1975
77369,859.6556,25,1,2.2656,2.0741,1.3333,90,13.48719,62269.23,16624.89,90,2002
976817,4884.085,40,1,1,3,1.3333,133,21.00011,62269.23,16624.89,200,2013
495340,6191.75,39,1,1,1,1.3333,131,30.231,15000,16624.89,80,1948
